transaction_date,store_id,region,units_sold,product_name
2023-01-01,STORE_008,West,283,Antibiotics
2023-01-01,STORE_020,West,478,Antibiotics
2023-01-01,STORE_029,Southeast,349,Antibiotics
2023-01-01,STORE_046,West,381,Antibiotics
2023-01-02,STORE_001,Northeast,298,Antibiotics
2023-01-02,STORE_002,Northeast,318,Antibiotics
2023-01-02,STORE_032,Midwest,362,Antibiotics
2023-01-03,STORE_010,West,84,Antibiotics
2023-01-03,STORE_029,Southeast,221,Antibiotics
2023-01-04,STORE_004,Southeast,0,Antibiotics
2023-01-04,STORE_016,Southeast,0,Antibiotics
2023-01-05,STORE_022,West,0,Antibiotics
2023-01-05,STORE_002,Northeast,473,Antibiotics
2023-01-06,STORE_008,West,96,Antibiotics
2023-01-07,STORE_009,Northeast,335,Antibiotics
2023-01-07,STORE_018,West,0,Antibiotics
2023-01-07,STORE_046,West,0,Antibiotics
2023-01-08,STORE_034,Southeast,324,Antibiotics
2023-01-08,STORE_041,Midwest,377,Antibiotics
2023-01-09,STORE_039,Northeast,0,Antibiotics
2023-01-10,STORE_038,Southwest,306,Antibiotics
2023-01-10,STORE_043,Midwest,0,Antibiotics
2023-01-11,STORE_018,West,0,Antibiotics
2023-01-12,STORE_014,Northeast,307,Antibiotics
2023-01-13,STORE_037,Northeast,0,Antibiotics
2023-01-13,STORE_021,Southeast,256,Antibiotics
2023-01-13,STORE_019,Northeast,0,Antibiotics
2023-01-14,STORE_003,Midwest,383,Antibiotics
2023-01-15,STORE_035,Midwest,94,Antibiotics
2023-01-15,STORE_037,Northeast,314,Antibiotics
2023-01-15,STORE_039,Northeast,295,Antibiotics
2023-01-15,STORE_044,Northeast,376,Antibiotics
2023-01-16,STORE_005,Southeast,304,Antibiotics
2023-01-16,STORE_011,Southwest,268,Antibiotics
2023-01-17,STORE_019,Northeast,464,Antibiotics
2023-01-17,STORE_040,Midwest,454,Antibiotics
2023-01-18,STORE_040,Midwest,234,Antibiotics
2023-01-18,STORE_020,West,0,Antibiotics
2023-01-18,STORE_010,West,301,Antibiotics
2023-01-18,STORE_016,Southeast,62,Antibiotics
2023-01-19,STORE_016,Southeast,71,Antibiotics
2023-01-19,STORE_020,West,224,Antibiotics
2023-01-20,STORE_014,Northeast,302,Antibiotics
2023-01-20,STORE_020,West,410,Antibiotics
2023-01-20,STORE_024,Southeast,103,Antibiotics
2023-01-20,STORE_025,Southwest,0,Antibiotics
2023-01-20,STORE_027,Midwest,0,Antibiotics
2023-01-20,STORE_028,Northeast,69,Antibiotics
2023-01-20,STORE_047,Northeast,0,Antibiotics
2023-01-22,STORE_044,Northeast,0,Antibiotics
2023-01-22,STORE_014,Northeast,451,Antibiotics
2023-01-23,STORE_021,Southeast,353,Antibiotics
2023-01-23,STORE_013,Northeast,174,Antibiotics
2023-01-24,STORE_003,Midwest,270,Antibiotics
2023-01-24,STORE_004,Southeast,0,Antibiotics
2023-01-24,STORE_009,Northeast,99,Antibiotics
2023-01-24,STORE_018,West,233,Antibiotics
2023-01-25,STORE_032,Midwest,288,Antibiotics
2023-01-25,STORE_037,Northeast,184,Antibiotics
2023-01-26,STORE_003,Midwest,40,Antibiotics
2023-01-26,STORE_015,Southeast,0,Antibiotics
2023-01-26,STORE_017,West,400,Antibiotics
2023-01-26,STORE_026,West,367,Antibiotics
2023-01-26,STORE_037,Northeast,0,Antibiotics
2023-01-28,STORE_047,Northeast,265,Antibiotics
2023-01-28,STORE_040,Midwest,491,Antibiotics
2023-01-28,STORE_005,Southeast,0,Antibiotics
2023-01-28,STORE_025,Southwest,384,Antibiotics
2023-01-29,STORE_003,Midwest,0,Antibiotics
2023-01-29,STORE_012,Northeast,0,Antibiotics
2023-01-29,STORE_019,Northeast,357,Antibiotics
2023-01-29,STORE_046,West,0,Antibiotics
2023-01-30,STORE_016,Southeast,183,Antibiotics
2023-01-30,STORE_029,Southeast,0,Antibiotics
2023-01-31,STORE_047,Northeast,0,Antibiotics
2023-01-31,STORE_029,Southeast,230,Antibiotics
2023-02-01,STORE_017,West,437,Antibiotics
2023-02-01,STORE_028,Northeast,72,Antibiotics
