,spoilage_risk,temp_deviation,storage_temp,spoilage_sensitivity,temp_abuse_events,distribution_hours,handling_score,packaging_score,was_spoiled,quality_grade,days_until_expiry
spoilage_risk,1.0,0.3021498104336754,-0.019812132738323673,0.2347101165115662,0.1760274522909647,0.26404757194154854,-0.39007655891284665,-0.6960705229618842,0.12864980880125476,-0.6837016409425285,-0.1323758840907241
temp_deviation,0.3021498104336754,1.0,-0.0053689334421162,-0.0017893564913157593,0.5517856308946807,0.008382909887993163,-0.0015647038412094924,-0.0032010939177203285,0.04085256628454696,-0.0040304375609626015,0.004903655295608224
storage_temp,-0.019812132738323673,-0.0053689334421162,1.0,-0.20308803905039155,-0.0015531091552076586,-0.0030184800736649644,-0.0021344679388938964,0.003558027571895546,-0.0008151972619255678,-0.0009685095233898725,-0.14687716205633664
spoilage_sensitivity,0.2347101165115662,-0.0017893564913157593,-0.20308803905039155,1.0,-0.0011806428217832452,0.0023610124772771423,0.0007916311854052355,-0.0016181698814248984,0.03665320188730767,1.9788054248228862e-05,-0.4514561922882369
temp_abuse_events,0.1760274522909647,0.5517856308946807,-0.0015531091552076586,-0.0011806428217832452,1.0,0.0049292350167886734,-0.003916898547645645,-0.0029484143007046447,0.026626362496694703,-0.0064517401550328,0.00398982032863143
distribution_hours,0.26404757194154854,0.008382909887993163,-0.0030184800736649644,0.0023610124772771423,0.0049292350167886734,1.0,-0.0002677914268042718,0.003923263111110099,0.028778363327354346,0.0035058198866896786,0.0004517661567816179
handling_score,-0.39007655891284665,-0.0015647038412094924,-0.0021344679388938964,0.0007916311854052355,-0.003916898547645645,-0.0002677914268042718,1.0,-0.0002298552206290916,-0.05631161880364481,0.6922036845566458,0.003920579328549716
packaging_score,-0.6960705229618842,-0.0032010939177203285,0.003558027571895546,-0.0016181698814248984,-0.0029484143007046447,0.003923263111110099,-0.0002298552206290916,1.0,-0.08849415898721978,0.5833643787783714,-0.0010653886574641385
was_spoiled,0.12864980880125476,0.04085256628454696,-0.0008151972619255678,0.03665320188730767,0.026626362496694703,0.028778363327354346,-0.05631161880364481,-0.08849415898721978,1.0,-0.09024483675234397,-0.023115520406289804
quality_grade,-0.6837016409425285,-0.0040304375609626015,-0.0009685095233898725,1.9788054248228862e-05,-0.0064517401550328,0.0035058198866896786,0.6922036845566458,0.5833643787783714,-0.09024483675234397,1.0,0.0007428147632477688
days_until_expiry,-0.1323758840907241,0.004903655295608224,-0.14687716205633664,-0.4514561922882369,0.00398982032863143,0.0004517661567816179,0.003920579328549716,-0.0010653886574641385,-0.023115520406289804,0.0007428147632477688,1.0
