transaction_date,product_name,store_id,region,units_sold,value
2023-01-01,Antibiotics,STORE_008,West,283,historical
2023-01-01,Antibiotics,STORE_020,West,478,historical
2023-01-01,Antibiotics,STORE_029,Southeast,349,historical
2023-01-01,Antibiotics,STORE_046,West,381,historical
2023-01-01,Bagels,STORE_025,Southwest,120,historical
2023-01-01,Bagels,STORE_031,Midwest,190,historical
2023-01-01,Bananas,STORE_006,Southeast,313,historical
2023-01-01,Bananas,STORE_048,Southwest,413,historical
2023-01-01,Berries,STORE_012,Northeast,619,historical
2023-01-01,Biologics,STORE_001,Northeast,339,historical
2023-01-01,Biologics,STORE_022,West,55,historical
2023-01-01,Bread,STORE_026,West,172,historical
2023-01-01,Butter,STORE_002,Northeast,351,historical
2023-01-01,Butter,STORE_020,West,137,historical
2023-01-01,Cakes,STORE_012,Northeast,26,historical
2023-01-01,Cakes,STORE_045,Southwest,120,historical
2023-01-01,Cheese,STORE_014,Northeast,474,historical
2023-01-01,Chicken,STORE_036,Northeast,294,historical
2023-01-01,Chicken,STORE_039,Northeast,215,historical
2023-01-01,Chicken,STORE_040,Midwest,382,historical
2023-01-01,Cod,STORE_044,Northeast,410,historical
2023-01-01,Cold Brew Coffee,STORE_001,Northeast,378,historical
2023-01-01,Cold Brew Coffee,STORE_006,Southeast,58,historical
2023-01-01,Cold Brew Coffee,STORE_012,Northeast,359,historical
2023-01-01,Cold Brew Coffee,STORE_023,Southwest,354,historical
2023-01-01,Cold Brew Coffee,STORE_025,Southwest,36,historical
2023-01-01,Cold Brew Coffee,STORE_029,Southeast,115,historical
2023-01-01,Cold Brew Coffee,STORE_030,Southwest,77,historical
2023-01-01,Cold Brew Coffee,STORE_037,Northeast,426,historical
2023-01-01,Cold Brew Coffee,STORE_049,Northeast,104,historical
2023-01-01,Cottage Cheese,STORE_002,Northeast,30,historical
2023-01-01,Cream,STORE_018,West,263,historical
2023-01-01,Croissants,STORE_022,West,54,historical
2023-01-01,Croissants,STORE_048,Southwest,58,historical
2023-01-01,Donuts,STORE_009,Northeast,259,historical
2023-01-01,Eye Drops,STORE_003,Midwest,30,historical
2023-01-01,Eye Drops,STORE_040,Midwest,0,historical
2023-01-01,Eye Drops,STORE_041,Midwest,168,historical
2023-01-01,Fresh Juice,STORE_011,Southwest,139,historical
2023-01-01,Fresh Juice,STORE_012,Northeast,433,historical
2023-01-01,Fresh Juice,STORE_019,Northeast,121,historical
2023-01-01,Fresh Juice,STORE_040,Midwest,95,historical
2023-01-01,Fresh Pasta,STORE_004,Southeast,442,historical
2023-01-01,Fresh Pasta,STORE_009,Northeast,314,historical
2023-01-01,Fresh Pasta,STORE_010,West,230,historical
2023-01-01,Fresh Pasta,STORE_024,Southeast,99,historical
2023-01-01,Fresh Pasta,STORE_045,Southwest,32,historical
2023-01-01,Frozen Desserts,STORE_039,Northeast,291,historical
2023-01-01,Frozen Dinners,STORE_012,Northeast,162,historical
2023-01-01,Frozen Dinners,STORE_028,Northeast,108,historical
2023-01-01,Frozen Dinners,STORE_032,Midwest,326,historical
2023-01-01,Frozen Vegetables,STORE_032,Midwest,0,historical
2023-01-01,Frozen Vegetables,STORE_046,West,0,historical
2023-01-01,Frozen Vegetables,STORE_050,West,292,historical
2023-01-01,Grapes,STORE_020,West,162,historical
2023-01-01,Ground Beef,STORE_035,Midwest,94,historical
2023-01-01,Ham,STORE_025,Southwest,225,historical
2023-01-01,Ham,STORE_027,Midwest,184,historical
2023-01-01,Ham,STORE_036,Northeast,413,historical
2023-01-01,Hummus,STORE_001,Northeast,220,historical
2023-01-01,Hummus,STORE_016,Southeast,211,historical
2023-01-01,Ice Cream,STORE_002,Northeast,344,historical
2023-01-01,Ice Cream,STORE_015,Southeast,300,historical
2023-01-01,Ice Cream,STORE_017,West,190,historical
2023-01-01,Ice Cream,STORE_025,Southwest,300,historical
2023-01-01,Insulin,STORE_014,Northeast,25,historical
2023-01-01,Insulin,STORE_044,Northeast,297,historical
2023-01-01,Kombucha,STORE_001,Northeast,302,historical
2023-01-01,Kombucha,STORE_032,Midwest,233,historical
2023-01-01,Kombucha,STORE_048,Southwest,23,historical
2023-01-01,Lamb,STORE_019,Northeast,494,historical
2023-01-01,Lamb,STORE_034,Southeast,200,historical
2023-01-01,Lettuce,STORE_004,Southeast,146,historical
2023-01-01,Lettuce,STORE_007,Northeast,115,historical
2023-01-01,Lettuce,STORE_017,West,254,historical
2023-01-01,Lettuce,STORE_030,Southwest,228,historical
2023-01-01,Lettuce,STORE_034,Southeast,483,historical
2023-01-01,Milk,STORE_012,Northeast,204,historical
2023-01-01,Milk,STORE_035,Midwest,457,historical
2023-01-01,Milk,STORE_042,West,378,historical
2023-01-01,Milk Alternatives,STORE_013,Northeast,81,historical
2023-01-01,Milk Alternatives,STORE_021,Southeast,301,historical
2023-01-01,Milk Alternatives,STORE_022,West,9,historical
2023-01-01,Milk Alternatives,STORE_045,Southwest,333,historical
2023-01-01,Muffins,STORE_015,Southeast,35,historical
2023-01-01,Pastries,STORE_010,West,311,historical
2023-01-01,Pastries,STORE_020,West,116,historical
2023-01-01,Pastries,STORE_037,Northeast,67,historical
2023-01-01,Pizza,STORE_003,Midwest,143,historical
2023-01-01,Pizza,STORE_007,Northeast,196,historical
2023-01-01,Pizza,STORE_023,Southwest,156,historical
2023-01-01,Pizza,STORE_041,Midwest,112,historical
2023-01-01,Pizza,STORE_048,Southwest,199,historical
2023-01-01,Pizza,STORE_050,West,0,historical
2023-01-01,Pork,STORE_038,Southwest,428,historical
2023-01-01,Prepared Salads,STORE_013,Northeast,61,historical
2023-01-01,Prepared Salads,STORE_022,West,186,historical
2023-01-01,Prepared Salads,STORE_038,Southwest,176,historical
2023-01-01,Prepared Salads,STORE_040,Midwest,482,historical
2023-01-01,Prepared Salads,STORE_048,Southwest,345,historical
2023-01-01,Probiotics,STORE_008,West,0,historical
2023-01-01,Probiotics,STORE_021,Southeast,352,historical
2023-01-01,Probiotics,STORE_044,Northeast,41,historical
2023-01-01,Salads,STORE_045,Southwest,193,historical
2023-01-01,Salami,STORE_023,Southwest,143,historical
2023-01-01,Salami,STORE_038,Southwest,414,historical
2023-01-01,Salami,STORE_046,West,140,historical
2023-01-01,Salami,STORE_048,Southwest,351,historical
2023-01-01,Sandwiches,STORE_012,Northeast,96,historical
2023-01-01,Sandwiches,STORE_017,West,20,historical
2023-01-01,Sandwiches,STORE_040,Midwest,371,historical
2023-01-01,Sausages,STORE_044,Northeast,218,historical
2023-01-01,Shrimp,STORE_004,Southeast,350,historical
2023-01-01,Smoothies,STORE_007,Northeast,353,historical
2023-01-01,Smoothies,STORE_046,West,0,historical
2023-01-01,Soups,STORE_001,Northeast,83,historical
2023-01-01,Soups,STORE_018,West,71,historical
2023-01-01,Soups,STORE_049,Northeast,317,historical
2023-01-01,Sour Cream,STORE_013,Northeast,453,historical
2023-01-01,Sushi,STORE_029,Southeast,65,historical
2023-01-01,Sushi,STORE_032,Midwest,268,historical
2023-01-01,Tilapia,STORE_008,West,445,historical
2023-01-01,Tilapia,STORE_011,Southwest,436,historical
2023-01-01,Tilapia,STORE_029,Southeast,374,historical
2023-01-01,Tilapia,STORE_031,Midwest,270,historical
2023-01-01,Tomatoes,STORE_039,Northeast,409,historical
2023-01-01,Tuna,STORE_017,West,284,historical
2023-01-01,Tuna,STORE_020,West,80,historical
2023-01-01,Tuna,STORE_030,Southwest,65,historical
2023-01-01,Tuna,STORE_042,West,460,historical
2023-01-01,Turkey,STORE_001,Northeast,421,historical
2023-01-01,Turkey,STORE_012,Northeast,95,historical
2023-01-01,Turkey,STORE_016,Southeast,333,historical
2023-01-01,Turkey,STORE_019,Northeast,197,historical
2023-01-01,Turkey,STORE_025,Southwest,214,historical
2023-01-01,Turkey,STORE_026,West,324,historical
2023-01-01,Turkey,STORE_047,Northeast,274,historical
2023-01-01,Turkey Slices,STORE_032,Midwest,393,historical
2023-01-01,Turkey Slices,STORE_048,Southwest,392,historical
2023-01-01,Vaccines,STORE_003,Midwest,215,historical
2023-01-01,Vaccines,STORE_045,Southwest,0,historical
2023-01-01,Wraps,STORE_020,West,243,historical
2023-01-01,Wraps,STORE_033,Southeast,350,historical
2023-01-01,Yogurt,STORE_012,Northeast,484,historical
2023-01-02,Antibiotics,STORE_001,Northeast,298,historical
2023-01-02,Antibiotics,STORE_002,Northeast,318,historical
2023-01-02,Antibiotics,STORE_032,Midwest,362,historical
2023-01-02,Apples,STORE_001,Northeast,112,historical
2023-01-02,Apples,STORE_029,Southeast,37,historical
2023-01-02,Avocados,STORE_041,Midwest,141,historical
2023-01-02,Bananas,STORE_042,West,248,historical
2023-01-02,Berries,STORE_001,Northeast,713,historical
2023-01-02,Berries,STORE_017,West,22,historical
2023-01-02,Berries,STORE_021,Southeast,117,historical
2023-01-02,Biologics,STORE_010,West,237,historical
2023-01-02,Biologics,STORE_020,West,102,historical
2023-01-02,Biologics,STORE_024,Southeast,323,historical
2023-01-02,Biologics,STORE_040,Midwest,284,historical
2023-01-02,Biologics,STORE_045,Southwest,448,historical
2023-01-02,Bread,STORE_014,Northeast,439,historical
2023-01-02,Bread,STORE_023,Southwest,59,historical
2023-01-02,Bread,STORE_043,Midwest,314,historical
2023-01-02,Butter,STORE_026,West,411,historical
2023-01-02,Cakes,STORE_020,West,73,historical
2023-01-02,Cakes,STORE_036,Northeast,272,historical
2023-01-02,Cakes,STORE_044,Northeast,107,historical
2023-01-02,Cheese,STORE_003,Midwest,145,historical
2023-01-02,Cheese,STORE_004,Southeast,82,historical
2023-01-02,Cheese,STORE_006,Southeast,221,historical
2023-01-02,Cheese,STORE_020,West,52,historical
2023-01-02,Cheese,STORE_047,Northeast,13,historical
2023-01-02,Chicken,STORE_023,Southwest,165,historical
2023-01-02,Cod,STORE_019,Northeast,214,historical
