category,product_name,store_id,discount_pct,predicted_sales,predicted_waste,revenue,profit
Pharmaceuticals,Antibiotics,STORE_001,0.0,3442.0,2192.0,969158.6446153845,64359.913846153824
Pharmaceuticals,Antibiotics,STORE_002,0.0,5471.0,2187.0,1356351.4544827587,320099.9420689655
Pharmaceuticals,Antibiotics,STORE_003,0.0,6016.0,2043.0,1622327.8445714284,413077.1971428569
Pharmaceuticals,Antibiotics,STORE_004,0.0,6221.0,2764.0,1436284.353235294,270115.9179411765
Pharmaceuticals,Antibiotics,STORE_005,0.0,4599.0,3375.0,1217674.744054054,89689.94513513497
Pharmaceuticals,Antibiotics,STORE_006,0.0,2827.0,2451.0,800536.7346428571,41522.63464285713
Pharmaceuticals,Antibiotics,STORE_007,0.0,5417.0,2752.0,1533114.4154545453,229676.20181818167
Pharmaceuticals,Antibiotics,STORE_008,0.0,6888.0,2289.0,1799688.9866666668,457050.55083333334
Pharmaceuticals,Antibiotics,STORE_009,0.0,4831.0,4375.0,1269344.0112820512,-68670.19179487182
Pharmaceuticals,Antibiotics,STORE_010,0.0,4835.0,2895.0,1177956.5757142857,178081.07571428572
Pharmaceuticals,Antibiotics,STORE_011,0.0,7048.0,3764.0,1760306.8019047617,255477.196190476
Pharmaceuticals,Antibiotics,STORE_012,0.0,3713.0,3567.0,967930.831,-70949.43566666672
Pharmaceuticals,Antibiotics,STORE_013,0.0,6021.0,3073.0,1460432.5094117648,286469.32647058833
Pharmaceuticals,Antibiotics,STORE_014,0.0,6627.0,3061.0,1640999.2777500001,318487.9757500003
Pharmaceuticals,Antibiotics,STORE_015,0.0,4205.0,3727.0,1167687.7640625,-41632.39218749991
Pharmaceuticals,Antibiotics,STORE_016,0.0,5331.0,2679.0,1380523.1641666668,251264.46416666696
Pharmaceuticals,Antibiotics,STORE_017,0.0,5772.0,4226.0,1353462.2399999998,39081.925405404996
Pharmaceuticals,Antibiotics,STORE_018,0.0,5129.0,2689.0,1468859.048125,281453.87874999986
Pharmaceuticals,Antibiotics,STORE_019,0.0,6402.0,3131.0,1586215.3323076924,260111.47897435923
Pharmaceuticals,Antibiotics,STORE_020,0.0,8588.0,5435.0,1919233.9714285717,194934.41122449015
Pharmaceuticals,Antibiotics,STORE_021,0.0,5152.0,3556.0,1231210.24,123405.84799999994
Pharmaceuticals,Antibiotics,STORE_022,0.0,5693.0,3549.0,1615892.4942424241,199197.5166666666
Pharmaceuticals,Antibiotics,STORE_023,0.0,6141.0,2762.0,1559790.7065517243,267633.8465517243
Pharmaceuticals,Antibiotics,STORE_024,0.0,5450.0,3399.0,1453239.1969696973,180605.51363636402
Pharmaceuticals,Antibiotics,STORE_025,0.0,7207.0,2651.0,1820588.2972222224,451243.63888888917
Pharmaceuticals,Antibiotics,STORE_026,0.0,4474.0,3559.0,1083150.926,4838.4933333333465
Pharmaceuticals,Antibiotics,STORE_027,0.0,5969.0,3003.0,1401010.9467741933,183059.0525806449
Pharmaceuticals,Antibiotics,STORE_028,0.0,4764.0,3303.0,1204048.4317241379,85186.13068965508
Pharmaceuticals,Antibiotics,STORE_029,0.0,6146.0,2573.0,1694498.295,441902.53555555566
Pharmaceuticals,Antibiotics,STORE_030,0.0,4608.0,4896.0,1136766.922105263,-145197.62526315812
Pharmaceuticals,Antibiotics,STORE_031,0.0,7152.0,2355.0,1819066.7416216217,506155.1805405405
Pharmaceuticals,Antibiotics,STORE_032,0.0,6868.0,3102.0,1937202.5389473683,388882.5284210526
Pharmaceuticals,Antibiotics,STORE_033,0.0,6802.0,3436.0,1595856.3314999999,290531.80749999976
Pharmaceuticals,Antibiotics,STORE_034,0.0,4588.0,1633.0,1189165.6316666666,369030.46499999985
Pharmaceuticals,Antibiotics,STORE_035,0.0,4314.0,4183.0,1157186.0527272727,-74922.71969696973
Pharmaceuticals,Antibiotics,STORE_036,0.0,4417.0,2938.0,1121775.6744444445,126221.94296296296
Pharmaceuticals,Antibiotics,STORE_037,0.0,7833.0,4027.0,2049081.468,344253.90800000005
Pharmaceuticals,Antibiotics,STORE_038,0.0,4994.0,2810.0,1478133.48375,213839.14749999996
Pharmaceuticals,Antibiotics,STORE_039,0.0,8488.0,4970.0,2380631.1283333334,327660.89208333334
Pharmaceuticals,Antibiotics,STORE_040,0.0,6232.0,3351.0,1444328.32,261180.05999999994
Pharmaceuticals,Antibiotics,STORE_041,0.0,5590.0,3231.0,1169053.6393939394,110354.54636363644
Pharmaceuticals,Antibiotics,STORE_042,0.0,5074.0,4188.0,1303104.68,24805.780571428477
Pharmaceuticals,Antibiotics,STORE_043,0.0,5298.0,2272.0,1513129.670909091,355626.2042424242
Pharmaceuticals,Antibiotics,STORE_044,0.0,6230.0,3568.0,1690200.7305555553,201076.1955555554
Pharmaceuticals,Antibiotics,STORE_045,0.0,4748.0,3505.0,1420689.1412499999,135730.56906250003
Pharmaceuticals,Antibiotics,STORE_046,0.0,7386.0,2847.0,1944568.7011764708,497469.0061764709
Pharmaceuticals,Antibiotics,STORE_047,0.0,5047.0,3265.0,1261779.7643589743,132123.55102564098
Pharmaceuticals,Antibiotics,STORE_048,0.0,4532.0,3551.0,1103207.9748148147,53471.758518518414
Pharmaceuticals,Antibiotics,STORE_049,0.0,4462.0,2972.0,1031090.8586666667,100274.76266666659
Pharmaceuticals,Antibiotics,STORE_050,0.0,6116.0,3143.0,1567343.2426666669,242590.21333333373
Produce,Apples,STORE_001,0.0,6983.0,1186.0,33739.15290322581,12294.210322580651
Produce,Apples,STORE_002,0.0,6676.0,1307.0,33358.54142857143,10324.735357142861
Produce,Apples,STORE_003,0.0,5962.0,1575.0,29828.066666666666,10183.903939393938
Produce,Apples,STORE_004,0.0,5367.0,409.0,23379.477692307693,9565.95153846154
Produce,Apples,STORE_005,0.0,7390.0,1229.0,33456.545454545456,11692.264545454549
Produce,Apples,STORE_006,0.0,6728.0,855.0,30024.82133333333,11388.334999999995
Produce,Apples,STORE_007,0.0,6819.0,1230.0,30332.860285714287,10214.959714285713
Produce,Apples,STORE_008,0.0,5594.0,977.0,25716.861111111113,9387.926111111114
Produce,Apples,STORE_009,0.0,3153.0,845.0,11517.208333333332,4049.8327777777777
Produce,Apples,STORE_010,0.0,7531.0,1103.0,35955.50433333333,13325.79033333333
Produce,Apples,STORE_011,0.0,7584.0,1265.0,34934.432,10868.101666666666
Produce,Apples,STORE_012,0.0,5575.0,903.0,26663.509615384613,9471.89423076923
Produce,Apples,STORE_013,0.0,3290.0,719.0,13681.465,4388.603
Produce,Apples,STORE_014,0.0,7277.0,1539.0,32770.75666666666,11078.053636363626
Produce,Apples,STORE_015,0.0,6581.0,1821.0,27105.97764705882,8624.04882352941
Produce,Apples,STORE_016,0.0,6223.0,699.0,28632.714444444442,11719.96111111111
Produce,Apples,STORE_017,0.0,5534.0,596.0,26140.976296296296,10718.350370370374
Produce,Apples,STORE_018,0.0,3867.0,1103.0,13884.14125,4252.695416666668
Produce,Apples,STORE_019,0.0,5592.0,1040.0,29724.021818181816,10796.695757575755
Produce,Apples,STORE_020,0.0,6176.0,1170.0,24573.617777777778,8812.366666666665
Produce,Apples,STORE_021,0.0,8336.0,1042.0,36975.06352941177,14324.435294117648
Produce,Apples,STORE_022,0.0,6549.0,1515.0,32423.50363636364,10025.132727272732
